iyear,country_txt,Number,nkill,nkillus
1970,United States,100.0,1.098169717138103,0.9284731774415406
1971,United States,52.77777777777778,0.6655574043261231,0.515818431911967
1972,United States,13.675213675213676,0.33277870216306155,0.17193947730398898
1973,United States,12.393162393162394,1.497504159733777,1.2723521320495186
1974,United States,20.085470085470085,0.5324459234608985,0.3782668500687758
1975,United States,31.837606837606835,0.7986688851913478,0.24071526822558462
1976,United States,22.435897435897438,0.13311148086522462,0.0343878954607978
1977,United States,27.77777777777778,0.13311148086522462,0.0343878954607978
1978,United States,18.58974358974359,0.26622296173044924,0.1375515818431912
1979,United States,14.743589743589745,0.5990016638935108,0.34387895460797796
1980,United States,14.316239316239315,0.49916805324459235,0.3782668500687758
1981,United States,15.598290598290598,0.26622296173044924,0.10316368638239339
1982,United States,16.666666666666664,0.36605657237936773,0.1375515818431912
1983,United States,9.401709401709402,0.26622296173044924,0.20632737276478677
1984,United States,13.461538461538462,0.09983361064891848,0.0343878954607978
1985,United States,8.547008547008547,0.09983361064891848,0.0687757909215956
1986,United States,10.47008547008547,0.033277870216306155,0.0
1987,United States,7.264957264957266,0.033277870216306155,0.0
1988,United States,5.769230769230769,0.033277870216306155,0.0
1989,United States,8.974358974358974,0.09983361064891848,0.0687757909215956
1990,United States,6.837606837606838,0.16638935108153077,0.10316368638239339
1991,United States,6.41025641025641,0.06655574043261231,0.0
1992,United States,6.837606837606838,0.06655574043261231,0.0
1994,United States,11.965811965811966,0.33277870216306155,0.20632737276478677
1995,United States,12.82051282051282,5.657237936772046,5.845942228335626
1996,United States,7.478632478632479,0.06655574043261231,0.0687757909215956
1997,United States,8.547008547008547,0.06655574043261231,0.0343878954607978
1998,United States,6.41025641025641,0.13311148086522462,0.10316368638239339
1999,United States,11.324786324786325,0.6655574043261231,0.6877579092159559
2000,United States,6.837606837606838,0.0,0.0
2001,United States,8.76068376068376,100.0,100.0
2002,United States,7.051282051282051,0.13311148086522462,0.0
2003,United States,6.837606837606838,0.0,0.0
2004,United States,1.9230769230769231,0.0,0.0
2005,United States,4.273504273504273,0.0,0.0
2006,United States,1.282051282051282,0.033277870216306155,0.0343878954607978
2007,United States,1.9230769230769231,0.0,0.0
2008,United States,3.8461538461538463,0.06655574043261231,0.0687757909215956
2009,United States,2.1367521367521367,0.5990016638935108,0.6189821182943603
2010,United States,3.632478632478633,0.13311148086522462,0.1375515818431912
2011,United States,2.1367521367521367,0.0,0.0
2012,United States,4.05982905982906,0.23294509151414308,0.20632737276478677
2013,United States,4.273504273504273,0.7653910149750416,0.7221458046767538
2014,United States,5.555555555555555,0.632279534109817,0.6533700137551582
2015,United States,8.333333333333332,1.464226289517471,1.4786795048143053
2016,United States,13.034188034188036,2.262895174708819,2.02888583218707
